2017-05-04 02:02:43 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-113,-102,3.841406
2017-05-04 02:02:57 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-119,-106,4.099219
2017-05-04 02:03:03 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-118,-105,4.073437
2017-05-04 02:03:08 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-119,-104,4.099219
2017-05-04 02:03:12 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-123,-103,3.841406
2017-05-04 02:03:26 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-116,-105,4.099219
2017-05-04 02:03:31 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-120,-105,4.073437
2017-05-04 02:03:33 +0200 CEST,008000000000bd80,0000000000000001,0000000000000003,-121,-104,3.892969
2017-05-04 02:03:37 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-121,-105,4.099219
2017-05-04 02:03:41 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-117,-103,3.841406
2017-05-04 02:03:55 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-123,-105,4.099219
2017-05-04 02:04:00 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-119,-105,4.073437
2017-05-04 02:04:06 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-119,-105,4.099219
2017-05-04 02:04:10 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-120,-103,3.841406
2017-05-04 02:04:24 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-120,-106,4.099219
2017-05-04 02:04:29 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-119,-105,4.073437
2017-05-04 02:04:35 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-121,-104,4.099219
2017-05-04 02:04:39 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-117,-104,3.841406
2017-05-04 02:04:53 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-121,-106,4.099219
2017-05-04 02:04:58 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-119,-104,4.073437
2017-05-04 02:05:04 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-119,-104,4.099219
2017-05-04 02:05:08 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-121,-104,3.841406
2017-05-04 02:05:22 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-118,-106,4.099219
2017-05-04 02:05:27 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-119,-104,4.073437
2017-05-04 02:05:33 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-120,-104,4.099219
2017-05-04 02:05:37 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-108,-100,3.841406
2017-05-04 02:05:46 +0200 CEST,008000000000bd80,0000000000000001,0000000000000005,-120,-105,4.125000
2017-05-04 02:05:51 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-121,-105,4.099219
2017-05-04 02:05:56 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-120,-105,4.073437
2017-05-04 02:06:02 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-120,-104,4.099219
2017-05-04 02:06:06 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-115,-101,3.841406
2017-05-04 02:06:20 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-121,-105,4.099219
2017-05-04 02:06:25 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-119,-104,4.073437
2017-05-04 02:06:31 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-120,-104,4.099219
2017-05-04 02:06:35 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-114,-102,3.841406
2017-05-04 02:06:49 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-120,-105,4.099219
2017-05-04 02:06:54 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-119,-105,4.073437
2017-05-04 02:07:00 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-120,-104,4.099219
2017-05-04 02:07:04 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-125,-103,3.841406
2017-05-04 02:07:18 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-116,-105,4.099219
2017-05-04 02:07:23 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-120,-104,4.073437
2017-05-04 02:07:29 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-120,-105,4.099219
2017-05-04 02:07:33 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-117,-103,3.841406
2017-05-04 02:07:47 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-121,-105,4.099219
2017-05-04 02:07:52 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-119,-104,4.073437
2017-05-04 02:07:58 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-119,-104,4.099219
2017-05-04 02:08:02 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-125,-103,3.841406
2017-05-04 02:08:16 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-121,-106,4.099219
2017-05-04 02:08:20 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-118,-104,4.073437
2017-05-04 02:08:27 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-120,-104,4.099219
2017-05-04 02:08:31 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-119,-104,3.841406
2017-05-04 02:08:45 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-119,-105,4.099219
2017-05-04 02:08:49 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-120,-105,4.073437
2017-05-04 02:08:55 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-121,-104,4.099219
2017-05-04 02:09:00 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-121,-104,3.841406
2017-05-04 02:09:09 +0200 CEST,008000000000bd80,0000000000000001,0000000000000005,-121,-105,4.125000
2017-05-04 02:09:14 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-120,-105,4.099219
2017-05-04 02:09:18 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-121,-105,4.073437
2017-05-04 02:09:24 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-119,-104,4.099219
2017-05-04 02:09:28 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-109,-101,3.841406
2017-05-04 02:09:42 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-119,-106,4.099219
2017-05-04 02:09:47 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-120,-105,4.073437
2017-05-04 02:09:53 +0200 CEST,008000000000bd80,0000000000000001,0000000000000001,-120,-104,4.099219
2017-05-04 02:09:57 +0200 CEST,008000000000bd80,0000000000000001,0000000000000004,-119,-101,3.841406
2017-05-04 02:10:11 +0200 CEST,008000000000bd80,0000000000000001,0000000000000008,-120,-105,4.099219
2017-05-04 02:10:16 +0200 CEST,008000000000bd80,0000000000000001,0000000000000002,-120,-104,4.073437
